   ATIVO      FROTA
   1.301    DASH-9W
   1.302    DASH-9W
   1.303    DASH-9W
   1.304    DASH-9W
   1.305    DASH-9W
   1.306    DASH-9W
   1.307    DASH-9W
   1.308    DASH-9W
   1.309    DASH-9W
   1.310    DASH-9W
   1.311    DASH-9W
   1.827     DDM-MP
   1.828     DDM-MP
   1.830     DDM-MP
   1.843     DDM-MP
   1.847     DDM-MP
   1.884     DDM-MP
   8.514     DASH-7
   8.525     DASH-7
   8.795       SD70
   8.796       SD70
